Year,County,GDP,Population,Violent,Property,Human Trafficking,Index Crime Total
2019,Appling,1390178.0,18386.0,30,232,0,262
2019,Atkinson,219526.0,8165.0,6,36,0,42
2019,Bacon,338975.0,11164.0,39,214,0,253
2019,Baker,73629.0,3038.0,0,0,0,0
2019,Baldwin,1236074.0,44890.0,255,935,0,1190
2019,Banks,398048.0,19234.0,43,211,0,254
2019,Barrow,2009161.0,83240.0,38,394,0,432
2019,Bartow,4514254.0,107738.0,83,563,1,647
2019,Ben Hill,463542.0,16700.0,71,559,0,630
2019,Berrien,374022.0,19397.0,88,422,0,510
2019,Bibb,7542771.0,153159.0,559,4125,0,4684
2019,Bleckley,218063.0,12873.0,30,218,0,248
2019,Brantley,223269.0,19109.0,15,211,0,226
2019,Brooks,371596.0,15457.0,83,312,0,395
2019,Bryan,934029.0,39627.0,55,324,0,379
2019,Bulloch,2234447.0,79608.0,82,497,0,579
2019,Burke,2770267.0,22383.0,54,470,0,524
2019,Butts,604582.0,24936.0,72,494,0,566
2019,Calhoun,117206.0,6189.0,6,12,0,18
2019,Camden,1678693.0,54666.0,55,276,0,331
2019,Candler,242624.0,10803.0,28,95,0,123
2019,Carroll,4350214.0,119992.0,189,1721,0,1910
2019,Catoosa,1367892.0,67580.0,111,1023,0,1134
2019,Charlton,187489.0,13392.0,42,152,0,194
2019,Chatham,17134732.0,289430.0,1198,6461,0,7659
2019,Chattahoochee,1455321.0,10907.0,0,0,0,0
2019,Chattooga,518729.0,24789.0,5,108,0,113
2019,Cherokee,7324342.0,258773.0,82,1057,1,1140
2019,Clarke,6978928.0,128331.0,641,4438,2,5081
2019,Clay,83143.0,2834.0,5,8,0,13
2019,Clayton,16973431.0,292256.0,640,4393,1,5034
2019,Clinch,227348.0,6618.0,4,150,0,154
2019,Cobb,50322308.0,760141.0,1676,13565,15,15256
2019,Coffee,1420495.0,43273.0,66,461,0,527
2019,Colquitt,1326073.0,45600.0,53,535,0,588
2019,Columbia,3785561.0,156714.0,43,815,0,858
2019,Cook,339135.0,17270.0,53,275,0,328
2019,Coweta,4452559.0,148509.0,841,2206,11,3058
2019,Crawford,147442.0,12404.0,7,90,0,97
2019,Crisp,810540.0,22372.0,59,777,0,836
2019,Dade,382745.0,16116.0,0,0,0,0
2019,Dawson,819118.0,26108.0,32,333,0,365
2019,Decatur,730227.0,26404.0,64,355,0,419
2019,DeKalb,37431697.0,759297.0,2933,21611,1,24545
2019,Dodge,400590.0,20605.0,80,582,0,662
2019,Dooly,378658.0,13390.0,10,87,0,97
2019,Dougherty,4045033.0,87956.0,713,3198,0,3911
2019,Douglas,4288519.0,146343.0,343,3356,0,3699
2019,Early,432894.0,10190.0,38,141,0,179
2019,Echols,39525.0,4006.0,3,19,0,22
2019,Effingham,1736869.0,64296.0,72,468,1,541
2019,Elbert,569155.0,19194.0,40,380,0,420
2019,Emanuel,617932.0,22646.0,25,337,0,362
2019,Evans,339125.0,10654.0,19,92,0,111
2019,Fannin,686269.0,26188.0,31,296,1,328
2019,Fayette,4831733.0,114421.0,88,1357,0,1445
2019,Floyd,3674465.0,98498.0,90,717,0,807
2019,Forsyth,9468870.0,244252.0,128,1392,0,1520
2019,Franklin,871251.0,23349.0,19,256,0,275
2019,Fulton,167699100.0,1063937.0,4285,27343,2,31630
2019,Gilmer,832986.0,31369.0,77,441,0,518
2019,Glascock,30309.0,2971.0,1,29,0,30
2019,Glynn,3551298.0,85292.0,260,1823,0,2083
2019,Gordon,2145883.0,57963.0,228,900,0,1128
2019,Grady,586492.0,24633.0,42,380,0,422
2019,Greene,683155.0,18324.0,21,102,0,123
2019,Gwinnett,45779816.0,936250.0,1506,13536,2,15044
2019,Habersham,1374506.0,45328.0,58,345,0,403
2019,Hall,10114583.0,204441.0,375,2332,2,2709
2019,Hancock,146119.0,8457.0,16,53,0,69
2019,Haralson,757712.0,29792.0,171,568,1,740
2019,Harris,492827.0,35236.0,54,166,0,220
2019,Hart,831243.0,26205.0,89,389,0,478
2019,Heard,1142593.0,11923.0,21,127,0,148
2019,Henry,6201784.0,234561.0,186,2156,1,2343
2019,Houston,6376159.0,157863.0,421,3255,1,3677
2019,Irwin,185273.0,9416.0,18,187,0,205
2019,Jackson,2936841.0,72977.0,111,878,1,990
2019,Jasper,260207.0,14219.0,69,194,0,263
2019,Jeff Davis,376003.0,15115.0,25,289,0,314
2019,Jefferson,499540.0,15362.0,43,188,0,231
